# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
1000 373.338 142.031 0.67534 1209.42 965.107 244.309 12.1981 -0.00121981
2000 373.147 91.3917 0.67534 1209.14 964.612 244.53 -2.55961 0.000255961
3000 372.666 100.061 0.67534 1205.64 963.368 242.268 6.92385 -0.000692385
4000 373.791 99.1718 0.67534 1215.38 966.277 249.104 7.98041 -0.000798041
5000 372.82 70.3977 0.67534 1215.08 963.766 251.316 1.25242 -0.000125242
6000 373.344 68.2527 0.67534 1214.35 965.123 249.223 -25.9975 0.00259975
7000 373.046 94.1614 0.67534 1216.46 964.352 252.11 4.33514 -0.000433514
8000 372.562 109.352 0.67534 1215.88 963.101 252.78 -4.01306 0.000401306
9000 373.626 111.342 0.67534 1221.69 965.852 255.843 10.155 -0.0010155
10000 373.305 82.8247 0.67534 1220.94 965.022 255.922 -11.8686 0.00118686
11000 373.077 84.7928 0.67534 1225.53 964.432 261.094 16.9799 -0.00169799
12000 373.137 70.5284 0.67534 1226.97 964.586 262.385 7.43754 -0.000743754
13000 373.215 91.256 0.67534 1226.91 964.789 262.124 -18.2626 0.00182626
14000 373.021 63.2895 0.67534 1227.99 964.287 263.708 2.40114 -0.000240114
15000 373.109 49.2333 0.67534 1227.74 964.514 263.231 2.92489 -0.000292489
16000 373.04 57.7962 0.67534 1227.3 964.336 262.963 0.0844427 -8.44427e-06
17000 373.326 48.6838 0.67534 1229.1 965.075 264.027 15.9251 -0.00159251
18000 373.047 88.8494 0.67534 1224.6 964.355 260.24 -8.19349 0.000819349
19000 373.376 52.375 0.67534 1230.94 965.205 265.731 -22.2044 0.00222044
20000 373.047 47.5952 0.67534 1230.48 964.354 266.129 -10.2722 0.00102722
21000 373.095 21.2905 0.67534 1227.06 964.479 262.578 -28.4182 0.00284182
22000 373.008 42.7081 0.67534 1231.34 964.254 267.09 -7.56728 0.000756728
23000 373.499 50.139 0.67534 1232.1 965.522 266.581 -36.1608 0.00361608
24000 373.178 48.6735 0.67534 1232.34 964.692 267.65 -27.5372 0.00275372
25000 372.901 108.474 0.67534 1234.44 963.976 270.468 24.7956 -0.00247956
26000 372.824 42.2864 0.67534 1230.73 963.777 266.948 39.6431 -0.00396431
27000 373.453 56.5912 0.67534 1236.64 965.402 271.234 32.1104 -0.00321104
28000 373.241 58.9486 0.67534 1231.82 964.855 266.969 10.9421 -0.00109421
29000 373.451 -3.48717 0.67534 1234.66 965.397 269.263 46.1486 -0.00461486
30000 372.827 37.5392 0.67534 1229.48 963.786 265.691 -22.9387 0.00229387
31000 372.999 30.8684 0.67534 1227.37 964.229 263.141 15.0287 -0.00150287
32000 373.318 51.3036 0.67534 1233.94 965.054 268.883 11.5478 -0.00115478
33000 373.261 32.9603 0.67534 1234.48 964.906 269.573 16.2088 -0.00162088
34000 373.09 47.2888 0.67534 1237.99 964.466 273.521 -18.4203 0.00184203
35000 372.952 15.5263 0.67534 1234.32 964.108 270.216 -6.4596 0.00064596
