# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
74000 373.295 1038.57 0.76028 957.644 964.996 -7.35188 -29.8029 0.000298029
75000 372.842 1062.96 0.76028 957.328 963.824 -6.49576 -38.3767 0.000383767
76000 373.292 1038.89 0.76028 959.84 964.987 -5.14743 -25.7245 0.000257245
77000 373.331 985.882 0.76028 959.885 965.087 -5.20189 -50.7691 0.000507691
78000 372.793 1026.27 0.76028 953.176 963.697 -10.5209 -47.4561 0.000474561
79000 373.481 1008.46 0.76028 960.342 965.475 -5.13334 -23.7922 0.000237922
80000 373.164 934.353 0.76028 955.193 964.658 -9.46468 -37.9945 0.000379945
81000 372.967 990.337 0.76028 959.609 964.147 -4.53781 -76.55 0.0007655
82000 373.259 1012.25 0.76028 960.214 964.901 -4.68761 -37.6453 0.000376453
83000 373.151 1054.85 0.76028 963.925 964.623 -0.69825 -74.4238 0.000744238
84000 372.92 1024.38 0.76028 957.415 964.026 -6.6108 -71.2918 0.000712918
85000 373.467 972.986 0.76028 962.072 965.441 -3.36876 -27.0421 0.000270421
86000 373.021 1004.17 0.76028 960.328 964.286 -3.9579 -35.5446 0.000355446
87000 373.301 983.315 0.76028 964.747 965.011 -0.264299 -32.0905 0.000320905
88000 372.98 1044.45 0.76028 961.874 964.18 -2.30562 -56.3668 0.000563668
89000 373.032 991.205 0.76028 956.568 964.316 -7.74785 -33.3612 0.000333612
90000 373.391 953.814 0.76028 960.219 965.244 -5.02422 -43.285 0.00043285
91000 372.948 961.619 0.76028 954.868 964.099 -9.23051 -67.5949 0.000675949
92000 373.571 1012.54 0.76028 961.288 965.709 -4.42012 -45.3993 0.000453993
93000 372.735 983.841 0.76028 954.002 963.548 -9.54627 -57.0665 0.000570665
94000 373.38 988.454 0.76028 958.885 965.215 -6.3306 -24.2031 0.000242031
95000 373.064 999.567 0.76028 957.116 964.398 -7.28154 -33.2979 0.000332979
96000 373.166 961.917 0.76028 952.361 964.663 -12.3016 -29.2449 0.000292449
97000 372.985 987.207 0.76028 952.93 964.193 -11.2626 -93.0499 0.000930499
98000 373.187 1013.86 0.76028 955.128 964.716 -9.58746 -51.9122 0.000519122
99000 373.191 984.378 0.76028 952.878 964.727 -11.8489 -98.3587 0.000983587
100000 373.148 1046.77 0.76028 954.788 964.616 -9.82804 -72.3308 0.000723308
101000 372.968 1003.73 0.76028 953.653 964.149 -10.4962 -48.3219 0.000483219
102000 373.446 1001.87 0.76028 953.516 965.384 -11.8685 -104.272 0.00104272
103000 373.141 1006.53 0.76028 952.065 964.597 -12.5318 -48.4653 0.000484653
104000 373.172 1033.19 0.76028 959.002 964.678 -5.67604 -53.0671 0.000530671
105000 373.186 987.223 0.76028 958.955 964.713 -5.75818 -48.428 0.00048428
106000 373.165 1040.07 0.76028 957.867 964.66 -6.79306 -34.8835 0.000348835
107000 372.953 1016.52 0.76028 953.719 964.111 -10.3919 -47.6801 0.000476801
108000 373.336 967.799 0.76028 953.212 965.102 -11.8901 -46.6324 0.000466324
109000 373.28 1004.37 0.76028 958.174 964.956 -6.78217 -77.1884 0.000771884
110000 372.592 995.8 0.76028 956.515 963.178 -6.66296 -7.67043 7.67043e-05
111000 373.52 1020.82 0.76028 958.416 965.577 -7.16074 -46.2974 0.000462974
112000 373.107 993.025 0.76028 956.856 964.509 -7.65319 -65.663 0.00065663
113000 372.823 1014.27 0.76028 955.583 963.774 -8.1903 -84.043 0.00084043
114000 373.228 1004.08 0.76028 955.951 964.821 -8.87011 -53.5132 0.000535132
115000 373.577 1046.52 0.76028 960.439 965.724 -5.28558 -83.529 0.00083529
116000 373.071 954.973 0.76028 955.445 964.416 -8.97086 -50.0373 0.000500373
117000 372.891 967.865 0.76028 953.297 963.952 -10.6549 -94.6125 0.000946125
118000 373.581 984.371 0.76028 960.183 965.735 -5.55268 -116.698 0.00116698
119000 373.004 1001.29 0.76028 956.096 964.244 -8.14785 -85.8354 0.000858354
120000 372.801 980.315 0.76028 952.42 963.718 -11.2988 -86.1144 0.000861144
121000 373.336 1027.51 0.76028 959.849 965.1 -5.25103 -74.0873 0.000740873
122000 373.22 1017.29 0.76028 956.542 964.802 -8.26013 -63.9932 0.000639932
123000 372.766 1041.68 0.76028 952.996 963.629 -10.633 -45.0121 0.000450121
124000 373.879 995.351 0.76028 961.45 966.505 -5.05509 -13.054 0.00013054
125000 372.737 995.303 0.76028 954.989 963.553 -8.56447 -53.5947 0.000535947
126000 373.145 1021.22 0.76028 959.412 964.606 -5.19434 -81.7651 0.000817651
127000 373.133 1025.4 0.76028 960.367 964.578 -4.21023 -68.0854 0.000680854
128000 373.367 1010.41 0.76028 955.605 965.18 -9.57501 -60.6731 0.000606731
129000 373.052 985.967 0.76028 954.375 964.367 -9.99184 -30.068 0.00030068
130000 373.193 1000.94 0.76028 951.936 964.732 -12.7961 -85.7465 0.000857465
131000 373.244 967.603 0.76028 951.626 964.864 -13.2379 -47.9523 0.000479523
132000 373.016 988.278 0.76028 951.322 964.273 -12.9509 -54.3728 0.000543728
133000 372.932 991.449 0.76028 955.432 964.056 -8.62392 -45.7462 0.000457462
134000 373.492 1017.02 0.76028 959.704 965.505 -5.80184 -59.9512 0.000599512
135000 373.035 1013.56 0.76028 956.773 964.322 -7.54926 -65.8 0.000658
136000 372.88 1007.92 0.76028 952.159 963.921 -11.7619 -66.4908 0.000664908
137000 373.566 994.072 0.76028 952.21 965.696 -13.4853 -35.5267 0.000355267
138000 373.039 1017.38 0.76028 953.803 964.332 -10.5298 -73.4896 0.000734896
139000 373.001 1001.24 0.76028 953.808 964.236 -10.428 -39.2159 0.000392159
140000 373.185 1001.69 0.76028 953.983 964.71 -10.7269 -46.646 0.00046646
141000 373.177 989.771 0.76028 955.519 964.691 -9.17183 -36.0958 0.000360958
142000 372.858 978.697 0.76028 951.608 963.865 -12.257 -83.6183 0.000836183
143000 373.389 970.319 0.76028 955.887 965.239 -9.35154 -26.7724 0.000267724
144000 373.262 1010.22 0.76028 960.205 964.91 -4.70476 -3.74513 3.74513e-05
145000 373.01 1012.81 0.76028 955.858 964.259 -8.40107 -43.8919 0.000438919
146000 373.123 1004.34 0.76028 957.592 964.55 -6.95795 -80.1312 0.000801312
147000 372.796 992.808 0.76028 955.019 963.705 -8.6852 -30.4751 0.000304751
148000 373.335 1035.85 0.76028 957.51 965.097 -7.58697 -50.8725 0.000508725
149000 373.5 1042.33 0.76028 960.265 965.525 -5.26031 -9.89342 9.89342e-05
150000 372.795 1023.2 0.76028 961.748 963.702 -1.95382 -48.0008 0.000480008
151000 373.078 1012.63 0.76028 960.373 964.435 -4.06186 -32.2055 0.000322055
152000 373.751 985.142 0.76028 963.873 966.175 -2.30142 -70.4757 0.000704757
153000 372.93 960.31 0.76028 959.296 964.051 -4.75566 -53.4484 0.000534484
154000 373.134 943.739 0.76028 957.357 964.58 -7.22248 -70.7647 0.000707647
155000 373.276 932.411 0.76028 959.89 964.945 -5.05486 -71.2439 0.000712439
156000 373.073 941.281 0.76028 958.836 964.42 -5.58427 -45.9187 0.000459187
157000 373.047 962.421 0.76028 954.737 964.354 -9.61741 -43.7034 0.000437034
158000 373.147 959.371 0.76028 955.463 964.612 -9.14868 -68.5644 0.000685644
159000 372.939 942.106 0.76028 954.195 964.074 -9.87939 -59.7321 0.000597321
160000 373.236 984.649 0.76028 959.303 964.844 -5.54033 -41.6949 0.000416949
161000 373.22 979.724 0.76028 958.574 964.8 -6.22588 -59.7325 0.000597325
162000 373.311 976.695 0.76028 956.015 965.036 -9.02163 -51.8618 0.000518618
163000 373.049 974.836 0.76028 958.358 964.36 -6.00258 -57.8672 0.000578672
164000 373.108 997.522 0.76028 956.51 964.513 -8.00256 -42.4899 0.000424899
165000 373.045 1012.34 0.76028 958.982 964.349 -5.3674 -42.4473 0.000424473
166000 373.177 1006.51 0.76028 958.38 964.691 -6.31009 -23.3718 0.000233718
167000 373.373 1015.31 0.76028 956.745 965.195 -8.45041 -52.9685 0.000529685
168000 372.747 1017.86 0.76028 952.816 963.58 -10.7634 -43.5036 0.000435036
169000 373.518 997.789 0.76028 959.025 965.572 -6.54699 -54.8081 0.000548081
170000 372.978 992.606 0.76028 955.517 964.174 -8.65719 -54.8643 0.000548643
171000 373.263 1025.81 0.76028 955.454 964.913 -9.45871 -33.7838 0.000337838
172000 372.947 1025.94 0.76028 953.671 964.095 -10.4243 -42.8581 0.000428581
173000 373.452 1017 0.76028 955.796 965.401 -9.60523 -34.5973 0.000345973
174000 373.454 1012.88 0.76028 959.45 965.407 -5.95644 -68.2081 0.000682081
175000 372.431 987.189 0.76028 954.253 962.761 -8.50873 -72.4877 0.000724877
176000 373.522 989.898 0.76028 957.516 965.583 -8.06695 -97.5491 0.000975491
177000 373.129 1007.72 0.76028 956.387 964.566 -8.17909 -44.6833 0.000446833
178000 373.233 997.917 0.76028 957.062 964.835 -7.77254 -61.9162 0.000619162
179000 372.926 996.733 0.76028 953.451 964.041 -10.5899 -37.9328 0.000379328
180000 373.288 989.929 0.76028 956.292 964.976 -8.68385 -32.8905 0.000328905
181000 372.863 997.266 0.76028 955.298 963.877 -8.57959 -10.8912 0.000108912
182000 373.096 997.127 0.76028 956.128 964.48 -8.35117 -30.4076 0.000304076
183000 373.672 940.904 0.76028 956.992 965.968 -8.97675 -63.2609 0.000632609
184000 372.772 962.091 0.76028 951.97 963.642 -11.6719 -57.5177 0.000575177
185000 373.167 903.917 0.76028 952.003 964.665 -12.6621 -84.4683 0.000844683
186000 373.367 934.96 0.76028 954.995 965.18 -10.1856 -81.8999 0.000818999
187000 372.984 964.134 0.76028 953.258 964.191 -10.9322 -47.7663 0.000477663
188000 373.109 991.795 0.76028 958.06 964.515 -6.4552 -14.2468 0.000142468
189000 373.272 1028.77 0.76028 957.533 964.937 -7.40405 -22.0393 0.000220393
190000 373.133 1017.18 0.76028 959.067 964.575 -5.50877 -54.1715 0.000541715
191000 373.18 993.365 0.76028 954.814 964.699 -9.88465 -108.039 0.00108039
192000 373.336 972.748 0.76028 958.841 965.101 -6.26049 -74.7246 0.000747246
193000 372.918 1010.77 0.76028 958.185 964.02 -5.83493 -140.818 0.00140818
194000 373.218 995.808 0.76028 956.719 964.796 -8.07639 -55.826 0.00055826
195000 373.283 1017.43 0.76028 957.444 964.963 -7.51936 -74.9417 0.000749417
196000 373.101 988.89 0.76028 957.856 964.492 -6.63684 -105.857 0.00105857
197000 372.817 999.888 0.76028 957.968 963.76 -5.79239 -77.4855 0.000774855
198000 373.511 995.742 0.76028 960.026 965.553 -5.52738 -71.128 0.00071128
199000 373.032 1003 0.76028 955.414 964.315 -8.9007 -56.2129 0.000562129
200000 373.016 1005.66 0.76028 955.486 964.274 -8.78843 -61.6256 0.000616256
201000 373.105 993.383 0.76028 953.266 964.504 -11.2373 -95.3941 0.000953941
202000 373.207 1050.07 0.76028 956.522 964.769 -8.24642 -73.4962 0.000734962
203000 373.251 1052.66 0.76028 956.553 964.882 -8.3298 -92.6318 0.000926318
204000 373.264 1014.2 0.76028 957.648 964.914 -7.26601 -90.8345 0.000908345
205000 373.128 991.734 0.76028 950.391 964.562 -14.1709 -65.1499 0.000651499
206000 372.959 1005.6 0.76028 954.315 964.128 -9.81294 -43.3295 0.000433295
207000 373.373 1020.09 0.76028 960.676 965.198 -4.52207 -66.2279 0.000662279
208000 372.808 949.92 0.76028 956.116 963.737 -7.6216 -78.3523 0.000783523
209000 373.371 995.864 0.76028 956.433 965.192 -8.75905 -73.0868 0.000730868
210000 373.225 1038.94 0.76028 961.617 964.813 -3.19598 -28.2025 0.000282025
211000 373.182 1013.3 0.76028 959.239 964.704 -5.46497 -57.3576 0.000573576
212000 373.076 989.13 0.76028 957.397 964.428 -7.03155 -60.3765 0.000603765
213000 373.203 941.941 0.76028 958.841 964.756 -5.91504 -65.5393 0.000655393
214000 372.99 919.589 0.76028 957.738 964.206 -6.46798 -77.2927 0.000772927
215000 373.262 977.988 0.76028 956.474 964.91 -8.43617 -33.0318 0.000330318
216000 372.891 1002.95 0.76028 954.543 963.951 -9.40857 -71.2027 0.000712027
217000 373.408 1031.11 0.76028 958.733 965.287 -6.55345 -38.799 0.00038799
218000 373.107 996.724 0.76028 957.84 964.509 -6.66921 -60.7229 0.000607229
219000 373.227 971.867 0.76028 953.77 964.819 -11.0484 -79.5511 0.000795511
220000 372.726 954.547 0.76028 953.113 963.523 -10.4103 -72.9555 0.000729555
221000 373.735 1026.4 0.76028 961.328 966.132 -4.80402 -64.2974 0.000642974
222000 373.247 1043.57 0.76028 956.85 964.872 -8.02117 -88.121 0.00088121
223000 372.652 1050.69 0.76028 955.377 963.332 -7.95502 -61.3626 0.000613626
224000 373.351 1037.74 0.76028 954.329 965.14 -10.8115 -9.5789 9.5789e-05
225000 372.956 1000.87 0.76028 955.619 964.118 -8.4984 -103.383 0.00103383
226000 373.201 1002.17 0.76028 955.753 964.752 -8.99836 -59.9154 0.000599154
227000 373.318 984.635 0.76028 957.037 965.054 -8.0175 -47.9369 0.000479369
228000 372.63 997.125 0.76028 950.733 963.276 -12.5428 -48.9439 0.000489439
229000 373.837 990.419 0.76028 959.122 966.396 -7.27418 -81.0107 0.000810107
230000 372.687 993.006 0.76028 954.626 963.423 -8.7971 -84.6419 0.000846419
231000 373.518 1021.16 0.76028 958.723 965.571 -6.84719 -94.683 0.00094683
232000 372.772 933.065 0.76028 951.453 963.642 -12.1891 -70.0504 0.000700504
