# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
74000 373.118 -14.6021 0.67534 1066.31 964.537 101.777 -6.0297 6.0297e-05
75000 373.156 -15.5248 0.67534 1060.39 964.637 95.7545 -1.65959 1.65959e-05
76000 373.03 47.7278 0.67534 1060.91 964.311 96.5989 -11.1639 0.000111639
77000 373.391 -15.5433 0.67534 1061.63 965.242 96.3839 -23.3723 0.000233723
78000 372.698 -24.3145 0.67534 1056.85 963.452 93.3942 -14.6554 0.000146554
79000 373.146 5.05268 0.67534 1063.31 964.611 98.6997 -22.5937 0.000225937
80000 373.012 29.4466 0.67534 1060.26 964.264 95.9958 0.748402 -7.48402e-06
81000 373.396 78.183 0.67534 1065.72 965.255 100.464 -44.2774 0.000442774
82000 373.21 47.8403 0.67534 1061.3 964.776 96.5234 -10.6857 0.000106857
83000 373.419 16.0625 0.67534 1059.88 965.316 94.5666 -20.3873 0.000203873
84000 372.86 29.3286 0.67534 1060.58 963.871 96.7132 -6.94759 6.94759e-05
85000 373.048 71.7856 0.67534 1060.02 964.358 95.6656 -26.9729 0.000269729
86000 373.321 38.5484 0.67534 1066.03 965.063 100.963 -21.2704 0.000212704
87000 373.169 36.3801 0.67534 1067.46 964.669 102.795 -30.3458 0.000303458
88000 372.89 19.5547 0.67534 1059.77 963.949 95.8243 -28.5869 0.000285869
89000 373.295 33.6776 0.67534 1064.96 964.995 99.9663 -46.6345 0.000466345
90000 373.225 26.1644 0.67534 1063.51 964.815 98.6933 -7.65195 7.65195e-05
91000 372.759 29.9458 0.67534 1062.63 963.61 99.0179 -21.8201 0.000218201
92000 373.507 4.61679 0.67534 1066.4 965.542 100.855 -29.2294 0.000292294
93000 373.444 -15.8745 0.67534 1063.88 965.379 98.5036 -35.4552 0.000354552
94000 372.384 22.3241 0.67534 1059.08 962.64 96.4398 -5.01447 5.01447e-05
95000 373.656 18.4356 0.67534 1064.31 965.928 98.3801 -17.5939 0.000175939
96000 372.957 -17.4753 0.67534 1064.38 964.122 100.255 -46.8399 0.000468399
97000 373.102 26.6062 0.67534 1064.7 964.496 100.201 -14.3864 0.000143864
98000 373.593 1.62376 0.67534 1070.81 965.765 105.046 -4.54836 4.54836e-05
99000 372.986 -14.3582 0.67534 1064.86 964.195 100.665 0.0165185 -1.65185e-07
100000 373.034 5.22414 0.67534 1063.45 964.32 99.1308 -14.1752 0.000141752
101000 373.296 4.3481 0.67534 1062.81 964.997 97.8097 -13.3369 0.000133369
102000 373.058 2.37206 0.67534 1064.5 964.381 100.118 -31.0227 0.000310227
103000 373.273 25.9795 0.67534 1063.64 964.939 98.7043 -11.7808 0.000117808
104000 373.2 -25.2987 0.67534 1061.74 964.749 96.99 -24.2393 0.000242393
105000 372.942 -9.32069 0.67534 1061.2 964.081 97.1236 -12.0326 0.000120326
106000 372.986 12.0772 0.67534 1063.16 964.196 98.9654 -4.08724 4.08724e-05
107000 373.365 -16.3839 0.67534 1068.45 965.176 103.278 -18.3861 0.000183861
108000 373.077 -18.2959 0.67534 1064.43 964.43 99.9968 -26.0192 0.000260192
109000 373.113 -22.0516 0.67534 1064.06 964.526 99.5359 -29.9869 0.000299869
110000 373.182 -5.6628 0.67534 1062.25 964.702 97.5502 -65.7983 0.000657983
111000 373.173 -31.557 0.67534 1062.9 964.68 98.2191 -26.9374 0.000269374
112000 373.079 9.33904 0.67534 1064.32 964.438 99.8868 -14.1037 0.000141037
113000 373.191 -34.1433 0.67534 1063.71 964.727 98.9808 -10.4221 0.000104221
114000 373.266 20.7717 0.67534 1068.05 964.92 103.13 -24.0903 0.000240903
115000 373.235 -17.2925 0.67534 1063.23 964.839 98.3917 -6.98919 6.98919e-05
116000 373.001 -19.4894 0.67534 1063.09 964.236 98.8537 -8.11569 8.11569e-05
117000 372.811 17.4163 0.67534 1059.89 963.743 96.1421 -16.6743 0.000166743
118000 373.323 25.4055 0.67534 1062.28 965.067 97.2101 -24.5012 0.000245012
119000 373.401 4.41987 0.67534 1062.58 965.27 97.3153 -20.7437 0.000207437
120000 372.775 7.18248 0.67534 1055.75 963.65 92.0994 -7.34721 7.34721e-05
121000 373.236 -3.70265 0.67534 1061.5 964.843 96.658 -23.5486 0.000235486
122000 373.12 17.5169 0.67534 1063.93 964.544 99.386 -21.4276 0.000214276
123000 373.461 -3.51043 0.67534 1063.86 965.425 98.4368 -54.8098 0.000548098
124000 373.305 -17.4027 0.67534 1064.75 965.021 99.7338 -8.12302 8.12302e-05
125000 373.025 -23.1781 0.67534 1064.32 964.296 100.027 -22.8594 0.000228594
126000 372.874 -29.7151 0.67534 1059.47 963.906 95.5673 -11.3232 0.000113232
127000 373.318 -27.2633 0.67534 1062.04 965.054 96.9873 -32.3604 0.000323604
