# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot
1880 1.07547 0.380901 0.726 -3.41886 1.61288 -5.03174
1900 1.07325 0.402725 0.726 -3.41697 1.60955 -5.02652
1920 1.05929 0.481126 0.726 -3.41421 1.58862 -5.00284
1940 1.05463 0.526002 0.726 -3.40916 1.58162 -4.99079
1960 1.0608 0.52993 0.726 -3.40128 1.59088 -4.99216
1980 1.0673 0.537226 0.726 -3.39157 1.60064 -4.99221
2000 1.07723 0.531146 0.726 -3.38179 1.61552 -4.99731
2020 1.08618 0.522907 0.726 -3.3737 1.62895 -5.00265
2040 1.08749 0.535143 0.726 -3.36812 1.63091 -4.99903
2060 1.0933 0.518114 0.726 -3.36469 1.63963 -5.00432
2080 1.09875 0.497366 0.726 -3.36339 1.64779 -5.01118
2100 1.09572 0.509708 0.726 -3.36431 1.64326 -5.00757
2120 1.09282 0.518414 0.726 -3.36698 1.6389 -5.00588
2140 1.08732 0.53325 0.726 -3.37094 1.63066 -5.0016
2160 1.08012 0.550558 0.726 -3.3755 1.61986 -4.99536
2180 1.08293 0.522775 0.726 -3.38 1.62406 -5.00407
2200 1.08739 0.48807 0.726 -3.38477 1.63076 -5.01553
2220 1.08135 0.501304 0.726 -3.39019 1.6217 -5.01189
2240 1.07114 0.535702 0.726 -3.39551 1.60639 -5.00191
2260 1.06696 0.546449 0.726 -3.39967 1.60011 -4.99979
2280 1.06365 0.554707 0.726 -3.4022 1.59515 -4.99735
2300 1.06025 0.563287 0.726 -3.40275 1.59006 -4.99281
2320 1.07117 0.512959 0.726 -3.40112 1.60643 -5.00755
2340 1.07972 0.476816 0.726 -3.39807 1.61925 -5.01732
2360 1.08114 0.478195 0.726 -3.39427 1.62138 -5.01565
2380 1.08048 0.49506 0.726 -3.38935 1.6204 -5.00974
2400 1.08483 0.498159 0.726 -3.38226 1.62692 -5.00918
2420 1.09 0.508073 0.726 -3.3721 1.63468 -5.00677
2440 1.09495 0.52828 0.726 -3.35918 1.64209 -5.00127
2460 1.10031 0.545695 0.726 -3.346 1.65014 -4.99614
2480 1.10988 0.532402 0.726 -3.33568 1.66448 -5.00016
2500 1.12058 0.498717 0.726 -3.33016 1.68054 -5.0107
2520 1.11485 0.522932 0.726 -3.32997 1.67194 -5.0019
2540 1.10016 0.577413 0.726 -3.3337 1.6499 -4.9836
2560 1.09571 0.583919 0.726 -3.33936 1.64323 -4.98259
2580 1.09024 0.590175 0.726 -3.34597 1.63503 -4.98099
2600 1.08226 0.60261 0.726 -3.35249 1.62307 -4.97556
2620 1.08473 0.566897 0.726 -3.35801 1.62676 -4.98478
2640 1.09212 0.508187 0.726 -3.36288 1.63785 -5.00073
2660 1.0934 0.476668 0.726 -3.36783 1.63978 -5.00761
2680 1.09069 0.466273 0.726 -3.37297 1.63571 -5.00868
2700 1.08771 0.463719 0.726 -3.378 1.63125 -5.00925
2720 1.082 0.480658 0.726 -3.38261 1.62267 -5.00529
2740 1.07555 0.508358 0.726 -3.38642 1.613 -4.99941
2760 1.0721 0.52826 0.726 -3.38904 1.60783 -4.99688
2780 1.0718 0.536201 0.726 -3.39043 1.60738 -4.99781
2800 1.07133 0.544612 0.726 -3.39074 1.60668 -4.99742
2820 1.06927 0.558108 0.726 -3.39 1.60358 -4.99359
2840 1.07176 0.549909 0.726 -3.38807 1.60732 -4.99539
2860 1.07864 0.520802 0.726 -3.38518 1.61764 -5.00282
2880 1.08672 0.48594 0.726 -3.38203 1.62975 -5.01178
2900 1.09162 0.464654 0.726 -3.37942 1.6371 -5.01653
2920 1.09442 0.452383 0.726 -3.37799 1.6413 -5.0193
2940 1.0976 0.439467 0.726 -3.37826 1.64607 -5.02432
2960 1.09175 0.463095 0.726 -3.38093 1.63729 -5.01822
2980 1.08001 0.505296 0.726 -3.38625 1.61969 -5.00594
3000 1.06771 0.538544 0.726 -3.39378 1.60124 -4.99502
3020 1.05554 0.55879 0.726 -3.40235 1.583 -4.98535
3040 1.05557 0.520976 0.726 -3.41017 1.58304 -4.99322
3060 1.06506 0.444206 0.726 -3.41657 1.59727 -5.01384
3080 1.06945 0.395741 0.726 -3.42207 1.60386 -5.02593
3100 1.06661 0.386927 0.726 -3.42697 1.59959 -5.02656
3120 1.06615 0.378098 0.726 -3.43094 1.5989 -5.02984
3140 1.06374 0.387782 0.726 -3.43379 1.5953 -5.02908
3160 1.05561 0.43043 0.726 -3.43503 1.58309 -5.01812
3180 1.05038 0.466587 0.726 -3.4334 1.57526 -5.00866
3200 1.05651 0.461763 0.726 -3.42745 1.58445 -5.0119
3220 1.07134 0.433257 0.726 -3.41685 1.60669 -5.02355
3240 1.07504 0.462706 0.726 -3.40378 1.61224 -5.01602
3260 1.07591 0.503682 0.726 -3.39129 1.61354 -5.00483
3280 1.08599 0.49491 0.726 -3.38145 1.62866 -5.01011
3300 1.09165 0.493167 0.726 -3.37511 1.63714 -5.01226
3320 1.0864 0.529022 0.726 -3.37173 1.62927 -5.001
3340 1.0846 0.541922 0.726 -3.36985 1.62658 -4.99643
3360 1.0902 0.515412 0.726 -3.36888 1.63497 -5.00384
3380 1.09313 0.495703 0.726 -3.36916 1.63936 -5.00852
3400 1.0915 0.495655 0.726 -3.37096 1.63693 -5.00788
3420 1.08422 0.519425 0.726 -3.37403 1.62601 -5.00004
3440 1.08061 0.526702 0.726 -3.3777 1.62059 -4.99829
3460 1.07681 0.533625 0.726 -3.38156 1.61489 -4.99645
3480 1.07101 0.548206 0.726 -3.38517 1.60619 -4.99136
3500 1.07488 0.520655 0.726 -3.38804 1.612 -5.00004
3520 1.07925 0.489612 0.726 -3.39059 1.61854 -5.00914
3540 1.07599 0.491894 0.726 -3.39334 1.61367 -5.00701
3560 1.07162 0.501213 0.726 -3.39612 1.60711 -5.00323
3580 1.06909 0.503343 0.726 -3.39851 1.60331 -5.00181
3600 1.0686 0.49624 0.726 -3.40017 1.60257 -5.00274
3620 1.07102 0.477349 0.726 -3.40089 1.6062 -5.0071
3640 1.07355 0.461946 0.726 -3.40062 1.61 -5.01062
3660 1.07303 0.467346 0.726 -3.3993 1.60922 -5.00851
3680 1.07245 0.481152 0.726 -3.39648 1.60836 -5.00484
3700 1.07848 0.473048 0.726 -3.39184 1.61739 -5.00923
3720 1.08405 0.469199 0.726 -3.38586 1.62575 -5.01161
3740 1.08904 0.468394 0.726 -3.37942 1.63324 -5.01266
3760 1.08761 0.492126 0.726 -3.37337 1.63108 -5.00445
3780 1.08944 0.497204 0.726 -3.36793 1.63384 -5.00176
3800 1.09755 0.470106 0.726 -3.36342 1.646 -5.00942
3820 1.10232 0.452083 0.726 -3.3608 1.65314 -5.01394
3840 1.10363 0.445156 0.726 -3.36078 1.65512 -5.01589
3860 1.09859 0.461649 0.726 -3.36376 1.64756 -5.01131
3880 1.08718 0.498898 0.726 -3.36939 1.63045 -4.99984
3900 1.08413 0.490938 0.726 -3.37664 1.62587 -5.00251
3920 1.09055 0.433176 0.726 -3.38505 1.63549 -5.02054
3940 1.09325 0.388381 0.726 -3.39483 1.63954 -5.03437
3960 1.08197 0.408098 0.726 -3.40514 1.62263 -5.02777
3980 1.06566 0.458884 0.726 -3.4136 1.59817 -5.01177
4000 1.05648 0.486996 0.726 -3.41849 1.5844 -5.00289
4020 1.05991 0.467128 0.726 -3.41984 1.58955 -5.00939
4040 1.0635 0.453342 0.726 -3.41879 1.59493 -5.01372
4060 1.06182 0.468569 0.726 -3.41611 1.59241 -5.00852
4080 1.06698 0.459343 0.726 -3.41198 1.60015 -5.01213
4100 1.07169 0.453136 0.726 -3.40698 1.60722 -5.0142
4120 1.07235 0.464807 0.726 -3.40172 1.6082 -5.00991
4140 1.07553 0.466263 0.726 -3.39637 1.61297 -5.00934
4160 1.08494 0.441512 0.726 -3.39134 1.62708 -5.01842
4180 1.08764 0.443537 0.726 -3.38749 1.63113 -5.01862
4200 1.08499 0.464328 0.726 -3.38496 1.62717 -5.01213
4220 1.08887 0.451957 0.726 -3.38339 1.63297 -5.01636
4240 1.08942 0.447954 0.726 -3.38293 1.63381 -5.01674
