# Chunk-averaged data for fix profile and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vy
5000 20 5000
  20 0.975 257.099 -0.135604
50000 20 5000
  1 0.025 263.099 -0.147914
  2 0.075 254.091 -0.145653
  3 0.125 250.183 -0.143402
  4 0.175 255.456 -0.070012
  5 0.225 249.289 -0.0369123
  6 0.275 249.841 0.0270732
  7 0.325 244.971 0.0531307
  8 0.375 252.242 0.0712426
  9 0.425 248.202 0.111607
  10 0.475 252.059 0.112823
  11 0.525 254.518 0.144843
  12 0.575 252.618 0.165915
  13 0.625 242.938 0.108104
  14 0.675 249.718 0.0732479
  15 0.725 247.32 0.0625908
  16 0.775 240.427 -0.0249145
  17 0.825 244.778 -0.0822653
  18 0.875 242.247 -0.0876898
  19 0.925 253.246 -0.0800163
  20 0.975 252.757 -0.103576
55000 20 5000
  1 0.025 248.07 -0.167592
  2 0.075 253.383 -0.15755
  3 0.125 253.506 -0.0963612
  4 0.175 255.351 -0.0927901
  5 0.225 248.939 -0.0294119
  6 0.275 247.908 0.00606576
  7 0.325 250.712 0.0070887
  8 0.375 248.976 0.0950616
  9 0.425 247.807 0.12262
  10 0.475 257.852 0.169413
  11 0.525 253.409 0.18613
  12 0.575 251.434 0.126196
  13 0.625 248.456 0.0977339
  14 0.675 245.134 0.0201674
  15 0.725 242.729 -0.00538333
  16 0.775 247.212 -0.0184069
  17 0.825 248.436 -0.0182977
  18 0.875 253.763 -0.0244248
  19 0.925 247.709 -0.095968
  20 0.975 249.215 -0.127719
60000 20 5000
  1 0.025 260.366 -0.1333
  2 0.075 246.802 -0.114641
  3 0.125 249.061 -0.0626895
  4 0.175 258.248 -0.05302
  5 0.225 250.655 -0.0878564
  6 0.275 248.314 -0.0389832
  7 0.325 247.688 0.0488508
  8 0.375 248.007 0.107917
  9 0.425 249.226 0.152692
  10 0.475 251.6 0.152285
  11 0.525 251.421 0.179291
  12 0.575 246.451 0.112295
  13 0.625 247.964 0.0975585
  14 0.675 247.082 0.0190772
  15 0.725 245.583 0.0139398
  16 0.775 247.403 -0.0555497
  17 0.825 247.299 -0.0327015
  18 0.875 244.268 -0.0512639
  19 0.925 252.791 -0.104483
  20 0.975 259.772 -0.13682
65000 20 5000
  1 0.025 252.444 -0.148875
  2 0.075 247.279 -0.124725
  3 0.125 248.784 -0.0829523
  4 0.175 251.677 -0.0728697
  5 0.225 251.516 -0.0669313
  6 0.275 247.302 -0.0244513
  7 0.325 253.558 -0.00897175
  8 0.375 250.349 0.0735083
  9 0.425 250.184 0.156464
  10 0.475 253.393 0.156308
  11 0.525 254.501 0.191438
  12 0.575 245.041 0.164481
  13 0.625 252.488 0.121594
  14 0.675 253.584 0.0412927
  15 0.725 252.733 0.0434887
  16 0.775 239.881 -0.0549204
  17 0.825 245.599 -0.0356309
  18 0.875 242.51 -0.0678472
  19 0.925 252.629 -0.108764
  20 0.975 254.548 -0.156867
70000 20 5000
  1 0.025 259.527 -0.148557
  2 0.075 248.186 -0.109089
  3 0.125 251.729 -0.133449
  4 0.175 250.676 -0.0756058
  5 0.225 254.861 -0.0286191
  6 0.275 255.341 0.0304224
  7 0.325 250.322 0.0543148
  8 0.375 249.989 0.0435648
  9 0.425 244.06 0.0781038
  10 0.475 252.842 0.150031
  11 0.525 250.9 0.19214
  12 0.575 244.74 0.138309
  13 0.625 252.458 0.0877908
  14 0.675 246.884 0.0659583
  15 0.725 244.302 0.0603128
  16 0.775 243.139 0.0146724
  17 0.825 245.421 -0.0193506
  18 0.875 250.085 -0.0912958
  19 0.925 249.549 -0.131979
  20 0.975 254.991 -0.165002
75000 20 5000
  1 0.025 249.493 -0.190803
  2 0.075 250.14 -0.143341
  3 0.125 251.378 -0.0871866
  4 0.175 254.1 -0.0339266
  5 0.225 253.23 -0.00196901
  6 0.275 245.744 -0.0255875
  7 0.325 256.703 0.00742426
  8 0.375 249.783 0.0292641
  9 0.425 245.275 0.0970218
  10 0.475 252.439 0.124431
  11 0.525 255.514 0.160562
  12 0.575 251.141 0.129476
  13 0.625 254.062 0.0827754
  14 0.675 243.219 0.0950098
  15 0.725 248.129 0.0903332
  16 0.775 248.132 0.0429182
  17 0.825 242.427 -0.042201
  18 0.875 249.653 -0.0890326
  19 0.925 248.723 -0.121278
  20 0.975 250.718 -0.126685
80000 20 5000
  1 0.025 259.632 -0.144981
  2 0.075 251.77 -0.098609
  3 0.125 250.667 -0.0968552
  4 0.175 250.038 -0.0350124
  5 0.225 250.014 -0.0405073
  6 0.275 250.114 -0.00870025
  7 0.325 241.847 0.0224761
  8 0.375 244.133 0.0817579
  9 0.425 241.861 0.122332
  10 0.475 251.737 0.0881548
  11 0.525 255.532 0.139223
  12 0.575 254.613 0.104853
  13 0.625 246.856 0.0862562
  14 0.675 253.257 0.0732109
  15 0.725 249.026 0.105752
  16 0.775 252.091 0.0287809
  17 0.825 244.937 -0.0577468
  18 0.875 247.892 -0.0844113
  19 0.925 250.246 -0.11522
  20 0.975 253.738 -0.162232
85000 20 5000
  1 0.025 249.98 -0.151444
  2 0.075 252.723 -0.125185
  3 0.125 246.407 -0.0734068
  4 0.175 261.963 -0.0859547
  5 0.225 257.344 -0.0258122
  6 0.275 250.036 0.0233478
  7 0.325 246.693 0.0801628
  8 0.375 248.276 0.100733
  9 0.425 244.139 0.118617
  10 0.475 243.277 0.127359
  11 0.525 248.488 0.144505
  12 0.575 250.191 0.123538
  13 0.625 246.205 0.0742798
  14 0.675 253.026 0.0337137
  15 0.725 249.543 0.0353788
  16 0.775 247.152 0.0130996
  17 0.825 252.899 -0.067708
  18 0.875 251.853 -0.119386
  19 0.925 249.991 -0.0722984
  20 0.975 249.812 -0.137138
