# Created by MD - Bulk Evaluation, Folder: ./EMD_LJ
# t η(t) ACF_η η_V(t) ACF_η_V
# ps Pa*s Pa^2 Pa*s Pa^2
0.0 0.0 0.0027052622058000627 0.0 0.2380759734526966
0.005 6.225479737702377e-11 0.002686295890695576 5.496755180790437e-9 0.2379688640232788
0.01 1.236649048508595e-10 0.0026321080895159773 1.0989985923472927e-8 0.23777074054507838
0.015 1.834606090355434e-10 0.0025464809769641305 1.647771650640642e-8 0.23749252433419463
0.02 2.409803676432251e-10 0.002435000503918148 2.195828278654813e-8 0.2371502782457763
0.025 2.957029688186268e-10 0.0023042339946174736 2.7430422320900275e-8 0.23676272853688196
0.03 3.472607663420845e-10 0.002160913630739272 3.2893307476893615e-8 0.2363488055774664
0.035 3.954359023490945e-10 0.002011279606279181 3.8346527393860034e-8 0.23592567340336984
0.04 4.401440128865571e-10 0.0018606529274896222 4.379003260674001e-8 0.23550746653728707
0.045 4.814106907204282e-10 0.0017132353568661137 4.92240586492389e-8 0.23510473268923743
0.05 5.193454257472537e-10 0.0015720910178009628 5.4649043385179874e-8 0.2347244468885407
0.055 5.541165220291055e-10 0.0014392493701067917 6.00655491177491e-8 0.23437041113964047
0.06 5.859291415910568e-10 0.0013158730268264982 6.547419628931914e-8 0.23404385856497495
0.065 6.150074650104498e-10 0.0012024464709445802 7.087561182368355e-8 0.2337441173635628
0.07 6.415811130526849e-10 0.0010989563653356605 7.627039233698339e-8 0.23346923455128582
0.075 6.658754490255404e-10 0.0010050473312818366 8.165908066531443e-8 0.23321650550747097
0.08 6.881051238325227e-10 0.0009201470029349086 8.704215329698777e-8 0.23298288882280635
0.085 7.084701577776441e-10 0.0008435606674517666 9.242001608939422e-8 0.2327653089368617
0.09 7.271539019723749e-10 0.0007745394072442523 9.779300585275268e-8 0.23256086160037942
0.095 7.443223310763611e-10 0.000712327257490658 1.0316139579262753e-7 0.2323669426006546
0.1 7.601242472316192e-10 0.000656192962261411 1.0852540327933702e-7 0.23218132055543797
0.105 7.746920933289672e-10 0.0006054509894323689 1.1388519884465712e-7 0.23200217040918164
0.11 7.881431634436498e-10 0.0005594749124889753 1.192409156298572e-7 0.23182807902378824
0.115 8.005810523779649e-10 0.0005177047365104729 1.245926586836286e-7 0.23165802658797102
0.12 8.120972126888159e-10 0.0004796488808902066 1.2994051354796022e-7 0.23149134354091142
0.125 8.227725038673792e-10 0.00044488151694649077 1.352845535925665e-7 0.2313276452673063
0.13 8.326786397132275e-10 0.00041303641347759475 1.406248456818988e-7 0.23116675299601516
0.135 8.418794717014094e-10 0.0003837988874222368 1.4596145402447592e-7 0.23100861548195842
0.14 8.504320838614339e-10 0.00035689752924604587 1.5129444235551065e-7 0.23085324297970147
0.145 8.58387708193755e-10 0.0003320969352582169 1.5662387480904276e-7 0.23070065977500137
0.15 8.657924892715055e-10 0.0003091919140290261 1.6194981590391e-7 0.23055087490733406
0.155 8.726881291358132e-10 0.00028800291283331456 1.6727233002355844e-7 0.23040386761174336
0.16 8.791124340430458e-10 0.00026837209112319353 1.72591480689903e-7 0.23025958404048488
0.165 8.850997735123423e-10 0.000250159651846842 1.7790732985221275e-7 0.23011794184284412
0.17 8.906814565494002e-10 0.00023324033720556827 1.832199373628596e-7 0.22997884176827263
0.17500000000000002 8.958860318169632e-10 0.00021750034632297562 1.8852936075411824e-7 0.2298421821361213
0.18 9.007395266536741e-10 0.00020283512155574665 1.938356553238268e-7 0.22970787111424248
0.185 9.052656498463535e-10 0.00018914842306079775 1.9913887443492615e-7 0.22957583296364417
0.19 9.094859886819645e-10 0.0001763527588206374 2.0443906988878575e-7 0.22944600818389455
0.195 9.134202269286542e-10 0.0001643707671756673 2.0973629227678455e-7 0.2293183514844129
0.2 9.170863962895673e-10 0.0001531367331900019 2.1503059130826127e-7 0.22919283176720281
0.20500000000000002 9.205011554346983e-10 0.00014259746067497265 2.2032201617085198e-7 0.22906943494815726
0.21 9.236800781248012e-10 0.00013271218757839149 2.2561061597868693e-7 0.22894816874548202
0.215 9.26637928425573e-10 0.00012345155255517824 2.3089644035114657e-7 0.22882906919803098
0.22 9.293889015124457e-10 0.00011479564837847897 2.361795401531907e-7 0.2287122081400655
0.225 9.319468082419138e-10 0.00010673109844912031 2.414599683994717e-7 0.2285976999106099
0.23 9.343251806553846e-10 9.924713266881396e-5 2.467377812613527e-7 0.2284857035567789
0.23500000000000001 9.365372791832405e-10 9.233099834467588e-5 2.5201303904074885e-7 0.22837641775662937
0.24 9.385959953195799e-10 8.596349655247561e-5 2.572858069202883e-7 0.22827006652488369
0.245 9.405136650064022e-10 8.011571279391626e-5 2.625561552947674e-7 0.2281668772448817
0.25 9.423018316487972e-10 7.47479241447931e-5 2.678241595708974e-7 0.2280670565888597
0.255 9.439710154249329e-10 6.981123726829903e-5 2.7308989945801763e-7 0.22797077051229453
0.26 9.45530549729327e-10 6.525176445835003e-5 2.783534578934686e-7 0.2278781326199203
0.265 9.469885324834453e-10 6.1016395646682354e-5 2.836149197998795e-7 0.22778920124221932
0.27 9.483519128867581e-10 5.705875617783155e-5 2.888743708567141e-7 0.22770398359403482
0.275 9.49626700599257e-10 5.3343852170509905e-5 2.9413189640622625e-7 0.22762244325682432
