# Created by MD - Bulk Evaluation, Folder: ./EMD_LJ
# t λ(t) ACF_λ
# ps W/(m*K) eV^2/(Å^4*ps)
0.21 7.70148770722105e7 0.0028097223747893378
0.215 7.751904447697999e7 0.0027015024025299293
0.22 7.800399675794813e7 0.002599675344000901
0.225 7.847078992024931e7 0.0025029989217700507
0.23 7.892026230247943e7 0.0024103360265688286
0.23500000000000001 7.935306272018263e7 0.0023207520269556913
0.24 7.97696927132871e7 0.002233571634690023
0.245 8.017055527680558e7 0.002148392910148044
0.25 8.055600302192396e7 0.0020650670302655365
0.255 8.092638075487427e7 0.0019836574995086152
0.26 8.128206003413619e7 0.0019043932513036843
0.265 8.162346549068163e7 0.0018276255056102423
0.27 8.195109380756938e7 0.0017537906682691864
0.275 8.226552607212162e7 0.0016833749850350857
0.28 8.256743317585087e7 0.0016168738902028782
0.28500000000000003 8.28575729328829e7 0.0015547421300186228
0.29 8.31367774008741e7 0.0014973365394363811
0.295 8.340592982735264e7 0.0014448598573395877
0.3 8.366593236542949e7 0.001397316008175249
0.305 8.391766739630593e7 0.0013544849340545457
0.31 8.416195637403816e7 0.0013159206775872714
0.315 8.439952033892407e7 0.001280971539347057
0.32 8.463094581733821e7 0.0012488188014675087
0.325 8.485665929321793e7 0.0012185317036934027
0.33 8.50769131008324e7 0.0011891373172333445
0.335 8.529178507822603e7 0.00115970109350142
0.34 8.550119321060334e7 0.0011294101755165873
0.34500000000000003 8.570492473982051e7 0.0010976482204089679
0.35000000000000003 8.590267707951014e7 0.0010640496282817262
0.355 8.60941059157676e7 0.0010285238611891152
0.36 8.627887475088507e7 0.0009912468985683444
0.365 8.64567001703458e7 0.0009526230313357295
0.37 8.662738808054481e7 0.0009132243657361535
0.375 8.679085780623604e7 0.0008737186100464951
0.38 8.694715297704446e7 0.0008347968746630302
0.385 8.709644017192394e7 0.0007971120499780361
0.39 8.723899787787463e7 0.0007612345503786107
0.395 8.737519905493805e7 0.0007276266783157634
0.4 8.750549030074807e7 0.00069663108881215
0.405 8.76303695767958e7 0.0006684666025858761
0.41000000000000003 8.775036330842671e7 0.0006432255469475466
0.41500000000000004 8.786600286277623e7 0.0006208696149782696
0.42 8.79778002824733e7 0.0006012258708577394
0.425 8.808622375971614e7 0.0005839879064935641
0.43 8.819167426579964e7 0.0005687273154969053
0.435 8.829446540808906e7 0.0005549174995287422
0.44 8.839480863542897e7 0.000541968327520218
0.445 8.849280551809749e7 0.0005292688106864809
0.45 8.858844827647014e7 0.0005162345969679848
0.455 8.868162897612591e7 0.000502355212395076
0.46 8.877215671457776e7 0.0004872341788875361
0.465 8.885978082880962e7 0.0004706147119303058
0.47000000000000003 8.89442171079264e7 0.0004523868728046269
0.47500000000000003 8.902517371907473e7 0.00043257728201180417
0.48 8.9102374251965e7 0.00041132790833268014
0.485 8.91755767195218e7 0.00038887307480182
0.49 8.924458876646645e7 0.0003655210003733954
0.495 8.930927998792064e7 0.00034164066692433053
0.5 8.936959186761093e7 0.00031764893127434363
0.505 8.94255447599679e7 0.0002939910990062706
0.51 8.94772404039384e7 0.0002711115062697619
0.515 8.952485838472676e7 0.0002494167807317163
0.52 8.956864597481303e7 0.0002292402072828234
0.525 8.960890250921212e7 0.00021081761424890258
0.53 8.964596101861636e7 0.0001942815121676856
0.535 8.968017042514354e7 0.00017967310505896686
0.54 8.971188101464038e7 0.00016696609629645646
0.545 8.97414346521204e7 0.0001560947315143869
0.55 8.976915993911412e7 0.00014697977745440765
0.555 8.979537155323364e7 0.00013954826030138315
0.56 8.982037243449266e7 0.00013374484620594935
0.5650000000000001 8.984445734787327e7 0.00012953550497637515
0.5700000000000001 8.986791672917584e7 0.0001269069430526578
0.5750000000000001 8.989104042051727e7 0.00012586596423633253
0.58 8.991412145779017e7 0.00012644067697148846
0.585 8.993746010667254e7 0.00012868200405314367
0.59 8.996136782704115e7 0.0001326613902619907
0.595 8.998617015500854e7 0.0001384612629198732
0.6 9.001220709111048e7 0.00014615731022416805
0.605 9.003982969277538e7 0.00015579471060988951
0.61 9.00693920473327e7 0.00016736140652804965
0.615 9.010123833664088e7 0.000180761175456099
0.62 9.013568519563445e7 0.00019578911516121426
0.625 9.017300007137634e7 0.00021211243858146024
0.63 9.021337696396321e7 0.00022926105909223127
0.635 9.025691174886632e7 0.0002466324297822185
0.64 9.030357995844273e7 0.00026351358619911745
0.645 9.035322019336793e7 0.0002791206461683276
0.65 9.04055262544074e7 0.00029265463497558686
0.655 9.046005070024154e7 0.0003033705622257901
0.66 9.051622178151402e7 0.0003106545650414548
0.665 9.057337438907531e7 0.00031409995875290555
0.67 9.063079368900862e7 0.00031356986975304886
0.675 9.068776778337468e7 0.0003092332658025991
0.68 9.074364359821971e7 0.00030156420407312167
0.685 9.079787867492157e7 0.00029129780106793517
0.6900000000000001 9.085008100826062e7 0.0002793435974273231
0.6950000000000001 9.09000302076361e7 0.00026666803006284925
0.7000000000000001 9.09476762793532e7 0.0002541673283991112
0.705 9.099311649906184e7 0.0002425551141410431
0.71 9.103655504565164e7 0.000232286361113589
0.715 9.107825320380248e7 0.00022353033825095816
0.72 9.111847921868742e7 0.00021619386412620963
0.725 9.115746603968522e7 0.0002099842898747031
0.73 9.119538248741922e7 0.0002044932512025356
0.735 9.123231984750175e7 0.00019928155091501876
0.74 9.12682928367903e7 0.00019395138720317286
0.745 9.130325200030813e7 0.00018819907780514533
0.75 9.133710375228189e7 0.0001818458962806472
0.755 9.13697341040904e7 0.0001748475386356791
0.76 9.140103230249327e7 0.00016728367590168513
0.765 9.143091095104308e7 0.00015932995806747149
0.77 9.145931994473696e7 0.00015121838056572092
0.775 9.148625293204333e7 0.0001431952319880393
0.78 9.151174672746938e7 0.00013548608634173566
0.785 9.153587549195899e7 0.00012827361617504326
0.79 9.155874209265831e7 0.0001216889461704751
0.795 9.15804687265731e7 0.00011581225289002498
0.8 9.160118793627183e7 0.00011067645061891719
0.805 9.162103414853466e7 0.00010626922203522198
0.81 9.164013553535141e7 0.00010253451122887697
0.8150000000000001 9.165860656535563e7 9.937857807118666e-5
0.8200000000000001 9.167654250035946e7 9.668520642379571e-5
0.8250000000000001 9.169401742902151e7 9.433916150034598e-5
0.8300000000000001 9.171108670721434e7 9.225090366058796e-5
0.835 9.172779306492734e7 9.037195472889871e-5
0.84 9.174417390519111e7 8.869256210089462e-5
0.845 9.176026648400983e7 8.722087117234926e-5
0.85 9.17761083600527e7 8.595204508411599e-5
0.855 9.179173264179507e7 8.484227412777016e-5
0.86 9.180716014168927e7 8.380095600649903e-5
0.865 9.18223922200493e7 8.270605510535296e-5
0.87 9.183740802800308e7 8.143683089321068e-5
0.875 9.185216807112242e7 7.991020301839037e-5
0.88 9.186662351474142e7 7.810715051689917e-5
0.885 9.188072868295676e7 7.608122386279101e-5
0.89 9.189445338671225e7 7.394816455631271e-5
0.895 9.190779208409438e7 7.186165736876788e-5
0.9 9.192076817078401e7 6.99843441779463e-5
0.905 9.19334337093955e7 6.846695107099425e-5
0.91 9.19458670129766e7 6.744570435246753e-5
0.915 9.19581716564949e7 6.706052431810259e-5
0.92 9.19704800366581e7 6.748655088571366e-5
0.925 9.198296246032736e7 6.896305286816586e-5
0.93 9.199583961381476e7 7.18014763147483e-5
0.935 9.200939347448201e7 7.636036840449253e-5
0.9400000000000001 9.202397052189432e7 8.298627740923565e-5
0.9450000000000001 9.20399721519321e7 9.193296391144898e-5
0.9500000000000001 9.205783023184836e7 0.00010327976023458005
0.9550000000000001 9.20779696419537e7 0.00011687095740928892
0.96 9.210076323610707e7 0.00013229354563860783
0.965 9.212648694747402e7 0.00014890106176564528
0.97 9.215528314499138e7 0.0001658799330966241
0.975 9.218713878560749e7 0.00018234487120368892
0.98 9.2221882004905e7 0.0001974450343424235
0.985 9.225919755865517e7 0.0002104639309374174
0.99 9.229865873602727e7 0.00022089957336276605
0.995 9.233977136615379e7 0.00022851652071813076
1.0 9.238202437112598e7 0.00023336539730561695
1.0050000000000001 9.242494072779484e7 0.00023576784293796117
1.01 9.246812256765817e7 0.00023626748408607986
1.0150000000000001 9.251128465130077e7 0.00023555188099085605
1.02 9.255427190029259e7 0.00023435630726402888
1.025 9.259705894365938e7 0.00023336336544973788
1.03 9.263973235728726e7 0.00023311418207565127
1.035 9.268245904070878e7 0.00023394567561825104
1.04 9.272544635007419e7 0.00023596317260130012
1.045 9.276890050122294e7 0.00023904888137590998
1.05 9.2812989025622e7 0.00024289772160831575
1.055 9.285781110784623e7 0.00024706765058430346
1.06 9.290337731678498e7 0.0002510320229295974
1.065 9.294959847328036e7 0.00025422710430486465
